product,tier,substituted_for,product_total_gdp_usd,category,soc_major_group,trainability,pricing,os_platforms
Microsoft Excel,k1_economic,,1808455794241.1328,"['Inventory Management', 'Office Productivity', 'Spreadsheet']","['Computer and Mathematical', 'Healthcare Practitioners and Technical', 'Personal Care and Service', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,freemium,"Android, Windows, iOS, macOS"
Microsoft Outlook,k1_economic,,1244046203982.8608,"['Calendar and scheduling', 'Email and communication', 'Email software', 'Office Productivity', 'Scheduling software']","['Computer and Mathematical', 'Healthcare Practitioners and Technical', 'Personal Care and Service', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,freemium,"Android, Windows, iOS, macOS"
Microsoft Word,k1_economic,,1144002633532.7463,"['Word processing', 'Office Productivity']","['Computer and Mathematical', 'Healthcare Practitioners and Technical', 'Personal Care and Service', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,freemium,"Android, Windows, iOS, macOS"
Microsoft PowerPoint,k1_economic,,439916732257.5059,['Presentation'],"['Computer and Mathematical', 'Educational Instruction and Library', 'Architecture and Engineering', 'Sales and Related', 'Healthcare Practitioners and Technical']",sandbox_ready,freemium,"Android, Web, Windows, iOS, macOS"
Visual Studio Code,k1_economic,,124671450515.76865,"['Programming & Automation', 'Coding Tools']","['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,free,"Linux, Windows, macOS"
VistA,k1_economic,Cerner PowerChart,98162520045.05884,"['Medical scheduling software', 'EHR/EMR', 'Practice Management']","['Computer and Mathematical', 'Educational Instruction and Library', 'Healthcare Practitioners and Technical', 'Management', 'Life, Physical, and Social Science']",self_hostable,free,"Linux, Windows"
Google Chrome,k1_economic,,81178479695.06705,"['Web browsers', 'Email software']","['Computer and Mathematical', 'Personal Care and Service', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media', 'Installation, Maintenance, and Repair']",sandbox_ready,free,"Android, Linux, Windows, iOS, macOS"
Microsoft Power BI Desktop,k1_economic,,68250164623.66918,"['Data Analysis', 'Data visualization', 'Business Intelligence']","['Computer and Mathematical', 'Business and Financial Operations', 'Management', 'Life, Physical, and Social Science', 'Office and Administrative Support']",sandbox_ready,free,Windows
Canvas LMS,k1_economic,,41964011874.45916,['LMS'],"['Educational Instruction and Library', 'Healthcare Practitioners and Technical', 'Business and Financial Operations', 'Protective Service', 'Arts, Design, Entertainment, Sports, and Media']",self_hostable,freemium,"Android, Linux, Windows, iOS, macOS"
Mail & Calendar,k1_economic,,40202372876.71624,['Email software'],"['Computer and Mathematical', 'Healthcare Practitioners and Technical', 'Personal Care and Service', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,free,Windows
Visual Studio,k1_economic,,36559769935.142525,"['Programming & Automation', 'Coding Tools']","['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Business and Financial Operations', 'Management']",sandbox_ready,freemium,"Windows, macOS"
Google Earth Pro,k1_economic,,34582962737.89638,"['GIS Viewers', 'Map Viewing', 'GIS']","['Production', 'Architecture and Engineering', 'Educational Instruction and Library', 'Sales and Related', 'Business and Financial Operations']",sandbox_ready,free,"Linux, Windows, macOS"
Matomo,k1_economic,,28915134694.99733,['Web analytics'],"['Business and Financial Operations', 'Management', 'Computer and Mathematical']",self_hostable,freemium,"Linux, Windows, macOS"
CommCare,k1_economic,,26985562355.21772,"['Survey Creation', 'Electronic data capture', 'Survey Tools', 'Survey', 'Survey Design']","['Community and Social Service', 'Office and Administrative Support', 'Management', 'Life, Physical, and Social Science']",self_hostable,freemium,"Android, Web"
WooCommerce,k1_economic,,26666750862.273293,"['E-commerce platforms', 'Order Management']","['Business and Financial Operations', 'Office and Administrative Support', 'Arts, Design, Entertainment, Sports, and Media']",self_hostable,free,"Linux, Windows, macOS"
QGIS,k1_economic,ArcGIS Pro,26429074202.57107,"['Remote Sensing', 'Scripting', 'Subject-Specific Software', 'GIS', 'Map creation']","['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Production', 'Sales and Related']",sandbox_ready,free,"Android, Linux, Windows, macOS"
Microsoft Edge,k1_economic,,25469027809.93041,['Web browsers'],"['Computer and Mathematical', 'Personal Care and Service', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media', 'Installation, Maintenance, and Repair']",sandbox_ready,free,"Android, Linux, Windows, iOS, macOS"
IntelliJ IDEA,k1_economic,,25285034530.55623,"['Programming & Automation', 'Coding Tools']","['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Business and Financial Operations', 'Management']",sandbox_ready,freemium,"Linux, Windows, macOS"
Mozilla Firefox,k1_economic,,24006069764.545258,['Web browsers'],"['Computer and Mathematical', 'Personal Care and Service', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media', 'Installation, Maintenance, and Repair']",sandbox_ready,free,"Android, Linux, Windows, iOS, macOS"
SQL Server Management Studio,k1_economic,,23770771035.02796,['Database Client'],"['Computer and Mathematical', 'Architecture and Engineering', 'Production', 'Business and Financial Operations', 'Protective Service']",sandbox_ready,free,Windows
PyCharm,k1_economic,,23754551295.42956,"['Programming & Automation', 'Coding Tools']","['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,freemium,"Linux, Windows, macOS"
Power BI Desktop,k1_economic,,23497021467.32867,['Data Analysis'],"['Architecture and Engineering', 'Business and Financial Operations', 'Protective Service', 'Management', 'Life, Physical, and Social Science']",sandbox_ready,freemium,Windows
Docker Desktop,k1_economic,,22500619953.572067,"['Containerization software', 'Virtualization & Containers']","['Computer and Mathematical', 'Educational Instruction and Library']",sandbox_ready,freemium,"Linux, Windows, macOS"
Mozilla Thunderbird,k1_economic,Apple Mail,22289181453.330643,"['Email and communication', 'Office Productivity', 'Email software']","['Computer and Mathematical', 'Healthcare Practitioners and Technical', 'Personal Care and Service', 'Business and Financial Operations', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,free,"Linux, Windows, macOS"
Odoo,k1_economic,Microsoft Dynamics 365 Finance,11529281269.331465,"['ERP', 'Order Management', 'Inventory and Logistics', 'Scheduling software', 'Procurement software']","['Production', 'Sales and Related', 'Healthcare Practitioners and Technical', 'Personal Care and Service', 'Business and Financial Operations']",self_hostable,freemium,"Android, Linux, Windows, iOS"
Oracle Analytics Desktop,k1_economic,Tableau Desktop,7797004621.421077,['Business Intelligence'],"['Computer and Mathematical', 'Business and Financial Operations', 'Management']",sandbox_ready,free,"Windows, macOS"
MicroDicom,k1_economic,RadiAnt DICOM Viewer,4787066167.566064,"['Medical imaging', 'Medical Imaging']","['Healthcare Support', 'Healthcare Practitioners and Technical', 'Installation, Maintenance, and Repair']",sandbox_ready,freemium,Windows
